Protein,CellCondition,Cell_population,Timepoint,conditionID,condition_proteinID,Cell_proportion_raw,control_median3,Cell_proportion_norm1med3,T_statistic_all3,p_raw_all3,p_adj_all3
SIRPA,Resting,PolarizedB,4hr,Resting 4hr,Resting 4hr SIRPA,0.019288212,0.021924569499999998,-0.12024671681694817,-0.8114158713452212,0.43044430625773966,0.6960376016082598
SIRPA,Resting,PolarizedNK,4hr,Resting 4hr,Resting 4hr SIRPA,0.051973421500000005,0.043480663,0.16340579963549257,3.046470328591697,0.010729260996511947,0.10694083091605351
SIRPA,Resting,PolarizedT,4hr,Resting 4hr,Resting 4hr SIRPA,0.147603463,0.1552011015,-0.048953508876997266,-1.228310903449695,0.23726794904365944,0.5554224003634879
SIRPA,Resting,T_activation,4hr,Resting 4hr,Resting 4hr SIRPA,0.32317338353723385,0.3597384456252047,-0.10164346494693628,-1.4895094968888647,0.15564826010120938,0.4511758862528501
SIRPA,Resting,T0,4hr,Resting 4hr,Resting 4hr SIRPA,0.08086260049999999,0.06729434749999999,0.16779392347145702,3.5255986406817486,0.003482633422152231,0.054791192137203286
SIRPA,Resting,T4,4hr,Resting 4hr,Resting 4hr SIRPA,0.266109357,0.276006823,-0.03585949757481184,-2.0581301384290414,0.05872066073076653,0.28001695470043964
SIRPA,Resting,T8,4hr,Resting 4hr,Resting 4hr SIRPA,0.24984842499999999,0.250318184,-0.0018766475231380476,0.24259569366169187,0.8113770360199776,0.9143535994868849
SLITRK4,Activated,B,24hr,Activated 24hr,Activated 24hr SLITRK4,0.1045828325,0.103368426,0.011611910587715255,0.6213087060224893,0.5441719195746095,0.7724998169882944
SLITRK4,Activated,B_activation,24hr,Activated 24hr,Activated 24hr SLITRK4,0.7180934069346815,0.7463498664486611,-0.03785953583462356,-0.9575747861720921,0.35575371241979814,0.6489888757803346
SLITRK4,Activated,ConvB,24hr,Activated 24hr,Activated 24hr SLITRK4,0.060081604999999996,0.058813168,0.02111190271964268,0.9290145838327765,0.3706208007793329,0.659630872825652
SLITRK4,Activated,ConvNK,24hr,Activated 24hr,Activated 24hr SLITRK4,0.0505215795,0.0531897805,-0.050163790392028444,-1.8501375058409097,0.08168036797995264,0.32405775676333204
SLITRK4,Activated,ConvT,24hr,Activated 24hr,Activated 24hr SLITRK4,0.4108704495,0.4062744755,0.011185944390970377,0.45082776602863267,0.6592685635273656,0.840265430066262
SLITRK4,Activated,M14,24hr,Activated 24hr,Activated 24hr SLITRK4,0.0508325,0.0473513125,0.06848349972950382,1.6457183331190068,0.11926226210456391,0.39142486024062
SLITRK4,Activated,M16,24hr,Activated 24hr,Activated 24hr SLITRK4,0.0054634235,0.005882159,-0.07118738204798607,NA,NA,NA
SLITRK4,Activated,Negs,24hr,Activated 24hr,Activated 24hr SLITRK4,0.080570368,0.08711513,-0.0751277303953974,-3.2187815182695205,0.004809711877797844,0.06427043564178218
SLITRK4,Activated,NK,24hr,Activated 24hr,Activated 24hr SLITRK4,0.12038576449999999,0.123294605,-0.0235926016389769,-0.9586109491150346,0.3530035355819091,0.6479164529989099
SLITRK4,Activated,NK_activation,24hr,Activated 24hr,Activated 24hr SLITRK4,1.4238872909568228,1.3529529881664586,0.049817357905271975,1.3684581510707057,0.19465319904654085,0.509943892394988
SLITRK4,Activated,PolarizedB,24hr,Activated 24hr,Activated 24hr SLITRK4,0.041621224,0.043414714,-0.041310648735357364,-0.7577230991221585,0.46006872823217126,0.7190868017507962
SLITRK4,Activated,PolarizedNK,24hr,Activated 24hr,Activated 24hr SLITRK4,0.0694861975,0.0711793735,-0.023787452976106967,0.04474873108533219,0.9649955491467161,0.9879165880234473
SLITRK4,Activated,PolarizedT,24hr,Activated 24hr,Activated 24hr SLITRK4,0.225920153,0.2270563485,-0.005004024364462957,0.036131367167617515,0.971680767199931,0.9898302478851777
SLITRK4,Activated,T_activation,24hr,Activated 24hr,Activated 24hr SLITRK4,0.5557028849845043,0.5614133531662853,-0.010171593086581995,-0.12696976677295174,0.9007902620913102,0.9625315981573227
SLITRK4,Activated,T0,24hr,Activated 24hr,Activated 24hr SLITRK4,0.0584206325,0.0628018265,-0.06976220667722148,-1.1259986693581934,0.2681937969412399,0.5835426599576622
SLITRK4,Activated,T4,24hr,Activated 24hr,Activated 24hr SLITRK4,0.30610572199999997,0.3043045645,0.005884102682667211,1.1908380720392906,0.25207359074230123,0.5679466704089867
