Plate,Row,Column,final_ngul,band_intensity,rank_ngul,predict_MW,band_MW,band_notes
III,F,11,0,0,0.001,55.02263,0,
III,F,12,60.2538119,1,0.462,41.3698,0,
III,G,1,0,0,0.001,124.4062,,faint 105
III,G,2,36.34300709,6,0.322,64.76678,70,
III,G,3,35.91844833,3,0.321,69.64483,64,
III,G,4,36.34300709,5,0.322,120.5985,100,
III,G,5,71.97617908,4,0.544,52.86146,59,
III,G,6,88.28826327,4,0.639,82.00599,77,
III,G,7,75.78801453,4,0.562,57.53617,60,
III,G,8,33.81783195,5,0.311,129.6333,100,
III,G,9,17.0701979,3,0.196,56.02636,59,
III,G,10,89.43100143,4,0.651,75.93706,69,
III,G,11,0.409412836,0,0.104,64.78727,0,
III,G,12,55.58783899,5,0.434,114.2727,99,
III,H,1,28.46652552,2,0.276,68.14019,63,
III,H,2,108.9960346,5,0.741,76.29279,70,
III,H,3,61.13977714,4,0.471,99.65081,95,
III,H,4,137.5169358,6,0.867,53.02447,59,
III,H,5,116.4117361,5,0.773,93.19234,91,
III,H,6,46.48530393,0,0.37,100.3405,0,
III,H,7,63.69609442,1,0.488,58.84744,61,
III,H,8,79.23215847,4,0.581,178.1578,135,"104,stronger band at slightly lower MW"
III,H,9,171.0992797,7,0.927,43.14767,48,
III,H,10,126.8173267,7,0.828,61.36747,60,
III,H,11,64.06846798,1,0.492,107.9382,,maybe faint 93
III,H,12,38.66521074,0,0.337,62.66218,0,
IV,A,1,31.84665953,0,0.3,60.56803,0,
IV,A,2,1.825838816,0,0.108,61.42047,0,
IV,A,3,0,0,0.001,50.90977,0,
IV,A,4,110.8522684,4,0.751,54.18305,57,
IV,A,5,68.50420272,4,0.525,80.38264,83,
IV,A,6,9.457242405,0,0.15,189.1919,0,
IV,A,7,95.76154221,5,0.69,63.64358,63,
IV,A,8,0,0,0.001,75.38738,0,
IV,A,9,88.36295587,4,0.641,45.28771,49,
IV,A,10,117.0332634,5,0.779,55.26302,60,
IV,A,11,37.32085313,4,0.33,140.2564,106,
IV,A,12,171.2200068,7,0.928,62.09687,60,
IV,B,1,14.73754578,2,0.186,179.4865,220,
IV,B,2,31.30714651,1,0.291,106.8698,,maybe very faint 90
IV,B,3,49.1230791,2,0.391,92.0188,70,
IV,B,4,0,0,0.001,84.68144,0,
IV,B,5,27.55080003,0,0.27,60.43063,0,
IV,B,6,17.02429475,2,0.194,159.382,110,
IV,B,7,0,0,0.001,161.948,0,
IV,B,8,80.40459504,5,0.592,83.12625,70,
IV,B,9,0,0,0.001,169.044,0,
IV,B,10,48.84055106,5,0.385,62.90016,66,
IV,B,11,10.11152354,2,0.153,48.33256,60,
IV,B,12,96.7193051,6,0.694,89.15698,94,
IV,C,1,93.35805124,5,0.672,86.18708,82,
IV,C,2,181.3309895,5,0.952,74.96183,66,
IV,C,3,60.21221705,3,0.461,94.80445,95,
IV,C,4,110.7777109,4,0.75,56.65314,43,22
IV,C,5,0,0,0.001,168.3501,0,
IV,C,6,60.07285925,3,0.458,73.95686,70,
