Uniprot_L,Uniprot_R,Gene_L,Gene_R,Kd_nM,Method,Confidence,log10_Kd_nM,Ref_csv,protein_identifier_1,transmembrane_1,peripheral_1,secreted_1,receptor_1,protein_identifier_2,transmembrane_2,peripheral_2,secreted_2,receptor_2,pair_label
Q92692,Q495A1,PVRL2,TIGIT,5800,NA,NA,3.763502865,"https://www.ncbi.nlm.nih.gov/pubmed/28515320,https://www.ncbi.nlm.nih.gov/pubmed/27978489",PVRL2_HUMAN,TRUE,FALSE,FALSE,TRUE,TIGIT_HUMAN,TRUE,FALSE,FALSE,FALSE,PVRL2 + TIGIT
Q92692,Q92692,PVRL2,PVRL2,392,NA,NA,2.59439255,https://www.ncbi.nlm.nih.gov/pubmed/22902367,PVRL2_HUMAN,TRUE,FALSE,FALSE,TRUE,PVRL2_HUMAN,TRUE,FALSE,FALSE,TRUE,PVRL2 + PVRL2
P40200,P15151,CD96,PVR,38,NA,NA,1.591064607,https://www.ncbi.nlm.nih.gov/pubmed/19011627,TACT_HUMAN,TRUE,FALSE,FALSE,TRUE,PVR_HUMAN,TRUE,FALSE,TRUE,TRUE,CD96 + PVR
P33681,P10747,CD80,CD28,2900,NA,NA,3.462547729,"https://www.nature.com/articles/ni737,https://www.ncbi.nlm.nih.gov/pubmed/12196291",CD80_HUMAN,TRUE,FALSE,FALSE,TRUE,CD28_HUMAN,TRUE,FALSE,FALSE,FALSE,CD28 + CD80
P42081,P10747,CD86,CD28,19000,NA,NA,4.278776458,https://www.ncbi.nlm.nih.gov/pubmed/12196291,CD86_HUMAN,TRUE,FALSE,FALSE,TRUE,CD28_HUMAN,TRUE,FALSE,FALSE,FALSE,CD28 + CD86
P33681,P16410,CD80,CTLA4,420,NA,NA,2.624282096,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2196039/,https://www.ncbi.nlm.nih.gov/pubmed/9053440",CD80_HUMAN,TRUE,FALSE,FALSE,TRUE,CTLA4_HUMAN,TRUE,FALSE,FALSE,FALSE,CD80 + CTLA4
P42081,P16410,CD86,CTLA4,2600,NA,NA,3.415140352,"https://www.ncbi.nlm.nih.gov/pubmed/12196291,https://www.nature.com/articles/nri3108",CD86_HUMAN,TRUE,FALSE,FALSE,TRUE,CTLA4_HUMAN,TRUE,FALSE,FALSE,FALSE,CD86 + CTLA4
P01375,P20333,TNF,TNFRSF1B,0.42,NA,NA,0.152288344,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC18461/,https://www.ncbi.nlm.nih.gov/pubmed/26721880",TNFA_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR1B_HUMAN,TRUE,FALSE,TRUE,TRUE,TNF + TNFRSF1B
P29965,P08514,CD40LG,ITGA2BB3,30,NA,NA,1.491361694,https://www.ncbi.nlm.nih.gov/pubmed/11875495,CD40L_HUMAN,TRUE,FALSE,TRUE,FALSE,ITA2B_HUMAN,TRUE,FALSE,FALSE,TRUE,CD40LG + ITGA2BB3
P29965,P08648,CD40LG,ITGA5B1,120,NA,NA,2.08278537,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3365732/,CD40L_HUMAN,TRUE,FALSE,TRUE,FALSE,ITA5_HUMAN,TRUE,FALSE,FALSE,TRUE,CD40LG + ITGA5B1
