Gene.names,B.memory_activated,B.memory_steady.state,B.naive_activated,B.naive_steady.state,B.plasma_steady.state,Basophil_steady.state,Eosinophil_steady.state,mDC_activated,mDC_steady.state,MO.classical_activated,MO.classical_steady.state,MO.intermediate_steady.state,MO.nonclassical_steady.state,mTregs_activated,mTregs_steady.state,Neutrophil_steady.state,NK.bright_activated,NK.bright_steady.state,NK.dim_activated,NK.dim_steady.state,nTregs_activated,nTregs_steady.state,pDC_activated,pDC_steady.state,T4.CM_activated,T4.CM_steady.state,T4.EM_activated,T4.EM_steady.state,T4.EMRA_activated,T4.EMRA_steady.state,T4.naive_activated,T4.naive_steady.state,T8.CM_activated,T8.CM_steady.state,T8.EM_activated,T8.EM_steady.state,T8.EMRA_activated,T8.EMRA_steady.state,T8.naive_activated,T8.naive_steady.state,Th1_steady.state,Th17_steady.state,Th2_steady.state,Majority.protein.IDs,Uniprot,Symbol,hclust_order
GYPC,3115.75,8875,8917,9820.25,0,0,0,0,5449.75,0,0,0,0,0,6481.5,0,0,10092.75,8381.666667,1791.75,31518.33333,16620.75,0,0,19715.5,8091,20903.75,14986.75,22308.75,3056.25,20600.75,17644.25,11065.25,13137.25,9575.5,17311.25,10527.25,9035.75,23005.75,22111.5,6848.75,6248,11891,P04921;P04921-2;P04921-3,P04921,GLPC,442
TIGIT,7342.75,1252.5,6872.5,598.5,33112.75,7945.25,487,7209,3114,0,6874.75,2865.75,6087.5,18285.66667,4012.25,0,6070.666667,944,24906.33333,1151,22494.66667,2504.5,3773.5,6309.5,2627.25,261.5,8868.25,335.25,4710,395.25,4527,0,21530.5,1442,16166,3115.25,27738.25,5623.25,3673.25,1698.25,2205,0,2876.75,A0A0C4DGA4;Q495A1;C9JZW6;C9J0B0,Q495A1,TIGIT,443
C10orf35,0,0,0,0,0,3053.75,0,0,1631.25,0,0,0,615,0,0,0,1569,0,9689.666667,0,2818.333333,0,0,0,31256,0,10130.25,1487.25,0,0,8058.5,0,2961.25,2410.75,1987,0,0,737.75,17601.5,0,1062,4574.25,0,Q96D05;Q96D05-2,Q96D05,C10orf35,444
SLC39A14,350,494.5,0,0,368.5,0,0,6258.5,4317.5,0,0,2410.5,933.5,0,409,0,6602,1010.75,17627.66667,0,1685.333333,91.75,0,0,3928.5,2465,13847.25,1168.5,14150,0,5787.75,3361.75,22975.75,1576,17834,1857,16639.75,1456.5,11086,1845.25,1978,1236.25,1656.5,Q15043;Q15043-2;Q15043-3;E5RIP4,Q15043,S39AE,445
CD320,3246.5,1307.25,0,1560,0,0,0,3198.75,0,2885.333333,580.25,0,0,0,704.25,28129.5,3162.666667,212.75,17388.33333,2156,10299,0,2007.75,3829.25,21396.75,737,15182.75,0,10220.75,0,5173.75,648.25,9707,263,12597.75,446.25,8499,2486,9212,0,737,186.25,0,Q9NPF0;Q9NPF0-2,Q9NPF0,CD320,446
ITM2A,0,0,0,0,0,773,0,0,0,0,0,0,0,0,411.25,27927.5,7540.333333,961.25,19380,0,0,376.5,0,0,11257.5,0,12208.5,0,17807.25,0,4531.5,0,8714.5,0,16458,0,18087,0,6686.25,0,1209.5,0,0,O43736;O43736-2,O43736,ITM2A,447
CD40LG;TNFSF5,7702.5,3379.25,17599.5,0,8112.25,0,5453.5,17030,0,22738.33333,1974.5,3951,0,0,0,81380.25,0,0,10342,0,0,1808.5,9176.25,0,17666.75,4572.5,24304.5,11307.75,30005,1678.75,11021.75,1654.5,1403.75,0,1453.75,0,1007.25,0,0,3334.75,1514.25,3603,2189,P29965;Q3L8U2,P29965,CD40LG,448
DSC2,8956,31277.25,16399.25,354.5,17789.25,6792,450.25,17108.75,483.25,32710,5596.75,6576,9649,17320,1243.25,40889.5,9190,920.5,1281.666667,897.25,11425.66667,1365,4652.25,178.25,30009.25,702.5,4263.75,970.5,4494.75,3936,3606.5,1305.75,2898,1078.5,4593.75,691.5,1511.5,3279.75,3582.75,483.25,9679,789,837,Q02487-2;Q02487,Q02487,DSC2,449
RNF130,0,7954,0,2402,0,5522.75,8592.75,6227.5,6165.25,41566.33333,5543.25,27956.5,13560.5,21749,3857.75,50024.5,6907,4875.25,3413.666667,1029.5,3292.333333,2477.25,9471.5,12265.75,4848,1904.75,4997,1499.25,4840.25,8070,5196,1606.75,772.25,216,1508.25,1301.75,532,2037.5,3438.75,29,475.25,1502,3660.5,Q86XS8;E5RI87;Q86XS8-2,Q86XS8,RNF130,450
TGFBR2,8146.75,2097,14540.25,3461.75,0,3272.5,3215.25,2125,3243.5,3642.666667,3065.5,7470.25,5086.75,0,5577.25,28335.5,5354,1818.25,14722,4166.5,2354.333333,4634.25,1003.25,7920.75,3880.25,6277.75,3719.25,3694.75,8425.25,3496,2876,35637.25,1312.75,3964.75,4618.75,3515.5,3469,6369.25,1919,15440.5,6918.75,3280,41610.25,P37173;P37173-2,P37173,TGFBR2,451
